time,errors,qty_req,n_clients,nthreads,cap_queue,test_index
3306884,0,10,2,1,1000,0
3098074,0,10,2,1,1000,1
3225710,0,10,2,1,1000,2
3128778,0,10,2,1,1000,3
3081861,0,10,2,1,1000,4
3239579,0,10,2,1,1000,5
3260464,0,10,2,1,1000,6
3227377,0,10,2,1,1000,7
3175866,0,10,2,1,1000,8
3044782,0,10,2,1,1000,9
16014099,0,50,2,1,1000,0
16581257,0,50,2,1,1000,1
16312757,0,50,2,1,1000,2
16541877,0,50,2,1,1000,3
17313664,0,50,2,1,1000,4
16554745,0,50,2,1,1000,5
16615686,0,50,2,1,1000,6
16763438,0,50,2,1,1000,7
17165256,0,50,2,1,1000,8
16394026,0,50,2,1,1000,9
33523737,0,100,2,1,1000,0
33414245,0,100,2,1,1000,1
33843334,0,100,2,1,1000,2
34336812,0,100,2,1,1000,3
33468791,0,100,2,1,1000,4
33451439,0,100,2,1,1000,5
34874814,0,100,2,1,1000,6
35083063,0,100,2,1,1000,7
33024306,0,100,2,1,1000,8
31714447,0,100,2,1,1000,9
1973537,0,10,4,2,1000,0
1950654,0,10,4,2,1000,1
2029219,0,10,4,2,1000,2
1965962,0,10,4,2,1000,3
2023234,0,10,4,2,1000,4
2083173,0,10,4,2,1000,5
2047742,0,10,4,2,1000,6
2140844,0,10,4,2,1000,7
2045457,0,10,4,2,1000,8
1999614,0,10,4,2,1000,9
10802693,0,50,4,2,1000,0
16610357,0,50,4,2,1000,1
24100142,0,50,4,2,1000,2
10772200,0,50,4,2,1000,3
11592086,0,50,4,2,1000,4
11862243,0,50,4,2,1000,5
12179840,0,50,4,2,1000,6
11036695,0,50,4,2,1000,7
11880086,0,50,4,2,1000,8
11101736,0,50,4,2,1000,9
23711125,0,100,4,2,1000,0
22486963,0,100,4,2,1000,1
22742017,0,100,4,2,1000,2
23462726,0,100,4,2,1000,3
22538743,0,100,4,2,1000,4
22036232,0,100,4,2,1000,5
21661970,0,100,4,2,1000,6
21177324,0,100,4,2,1000,7
21483798,0,100,4,2,1000,8
21823575,0,100,4,2,1000,9
2144231,0,10,6,3,1000,0
2080893,0,10,6,3,1000,1
2074051,0,10,6,3,1000,2
2078103,0,10,6,3,1000,3
1967987,0,10,6,3,1000,4
1990821,0,10,6,3,1000,5
1974386,0,10,6,3,1000,6
2035486,0,10,6,3,1000,7
2065249,0,10,6,3,1000,8
2008725,0,10,6,3,1000,9
10122035,0,50,6,3,1000,0
36800695,0,50,6,3,1000,1
10786661,0,50,6,3,1000,2
10408919,0,50,6,3,1000,3
10564970,0,50,6,3,1000,4
10544668,0,50,6,3,1000,5
10612877,0,50,6,3,1000,6
10444883,0,50,6,3,1000,7
10596439,0,50,6,3,1000,8
10837872,0,50,6,3,1000,9
22458901,0,100,6,3,1000,0
22161070,0,100,6,3,1000,1
23487276,0,100,6,3,1000,2
22391725,0,100,6,3,1000,3
21206450,0,100,6,3,1000,4
20988443,0,100,6,3,1000,5
101966089,0,100,6,3,1000,6
51978743,0,100,6,3,1000,7
20589870,0,100,6,3,1000,8
22271133,0,100,6,3,1000,9
2073700,0,10,8,4,1000,0
2091529,0,10,8,4,1000,1
2096645,0,10,8,4,1000,2
2136160,0,10,8,4,1000,3
2088749,0,10,8,4,1000,4
2193656,0,10,8,4,1000,5
2592153,0,10,8,4,1000,6
2408914,0,10,8,4,1000,7
1905287,0,10,8,4,1000,8
2566622,0,10,8,4,1000,9
10320419,0,50,8,4,1000,0
10399504,0,50,8,4,1000,1
10603976,0,50,8,4,1000,2
10462881,0,50,8,4,1000,3
28072047,0,50,8,4,1000,4
19041130,0,50,8,4,1000,5
27074781,0,50,8,4,1000,6
10639962,0,50,8,4,1000,7
10473330,0,50,8,4,1000,8
10601252,0,50,8,4,1000,9
21048762,0,100,8,4,1000,0
20941124,0,100,8,4,1000,1
21184792,0,100,8,4,1000,2
